interval,lagging_type,lagging_desc,entry,exit,entry_desc,exit_desc,total_trades,win_rate,total_pnl,avg_pnl,profit_factor,max_drawdown,win_trades,lose_trades,return_dd_ratio,pf_over_trades
4h,close,終値基準 (Close vs Close_21_ago),E2,EX5,E1 & 終値 > +1σ,遅行スパン陰転 or 終値 < 21MA割れ,196,0.34183673469387754,-102351.83715820312,-522.2032508071588,0.8576391814475248,173951.72119140625,67,129,-0.5883922070859028,0.004375710109426147
4h,close,終値基準 (Close vs Close_21_ago),E2,EX6,E1 & 終値 > +1σ,終値 < +1σ割れ or 終値 < 21MA割れ,311,0.3247588424437298,-80638.73291015625,-259.28853025773714,0.9026090270485637,147039.1845703125,101,210,-0.5484166220440083,0.002902279829738147
4h,close,終値基準 (Close vs Close_21_ago),E2,EX7,E1 & 終値 > +1σ,遅行スパン陰転 or 終値 < +1σ割れ or 終値 < 21MA割れ,318,0.330188679245283,-97169.03686523438,-305.563009010171,0.8851986278069736,163569.48852539062,105,213,-0.5940535593846464,0.002783643483669728
4h,close,終値基準 (Close vs Close_21_ago),E3,EX1,E1 & 終値 > +2σ,遅行スパン陰転,90,0.34444444444444444,-126330.41381835938,-1403.6712646484375,0.7881572405753373,273651.123046875,31,59,-0.4616477082636333,0.008757302673059304
4h,close,終値基準 (Close vs Close_21_ago),E3,EX2,E1 & 終値 > +2σ,終値 < +1σ割れ,124,0.3790322580645162,-9290.1611328125,-74.920654296875,0.9793023149084592,113050.07934570312,47,77,-0.08217739595213833,0.007897599313777896
4h,close,終値基準 (Close vs Close_21_ago),E3,EX3,E1 & 終値 > +2σ,終値 < 21MA割れ,106,0.32075471698113206,-163911.7431640625,-1546.337199660967,0.7013928635859865,244981.38427734375,34,72,-0.6690783613929531,0.006616913807414967
4h,close,終値基準 (Close vs Close_21_ago),E3,EX4,E1 & 終値 > +2σ,遅行スパン陰転 or 終値 < +1σ割れ,125,0.376,-12910.15625,-103.28125,0.9714673917625448,116670.07446289062,47,78,-0.1106552499382037,0.007771739134100358
4h,close,終値基準 (Close vs Close_21_ago),E3,EX5,E1 & 終値 > +2σ,遅行スパン陰転 or 終値 < 21MA割れ,109,0.3119266055045872,-171501.61743164062,-1573.409334235235,0.6914666652026276,246721.34399414062,34,75,-0.6951227431531567,0.006343730873418602
4h,close,終値基準 (Close vs Close_21_ago),E3,EX6,E1 & 終値 > +2σ,終値 < +1σ割れ or 終値 < 21MA割れ,124,0.3790322580645162,-9290.1611328125,-74.920654296875,0.9793023149084592,113050.07934570312,47,77,-0.08217739595213833,0.007897599313777896
4h,close,終値基準 (Close vs Close_21_ago),E3,EX7,E1 & 終値 > +2σ,遅行スパン陰転 or 終値 < +1σ割れ or 終値 < 21MA割れ,125,0.376,-12910.15625,-103.28125,0.9714673917625448,116670.07446289062,47,78,-0.1106552499382037,0.007771739134100358
4h,close,終値基準 (Close vs Close_21_ago),E4,EX1,遅行スパン陽転 & エクスパンション（バンド拡大）,遅行スパン陰転,147,0.29931972789115646,-101080.16967773438,-687.6202018893495,0.8512192498019631,215930.32836914062,44,103,-0.46811474071828485,0.005790607141509953
4h,close,終値基準 (Close vs Close_21_ago),E4,EX2,遅行スパン陽転 & エクスパンション（バンド拡大）,終値 < +1σ割れ,238,0.31092436974789917,-91538.84887695312,-384.61701208803834,0.8646474874650202,173399.0478515625,74,164,-0.5279086016395809,0.003632972636407648
4h,close,終値基準 (Close vs Close_21_ago),E4,EX3,遅行スパン陽転 & エクスパンション（バンド拡大）,終値 < 21MA割れ,161,0.34782608695652173,-91781.15844726562,-570.0693071258735,0.8600428971241523,159651.33666992188,56,105,-0.574884998532913,0.005341881348597219
4h,close,終値基準 (Close vs Close_21_ago),E4,EX4,遅行スパン陽転 & エクスパンション（バンド拡大）,遅行スパン陰転 or 終値 < +1σ割れ,245,0.3183673469387755,-112139.12963867188,-457.71073321906886,0.838892124815828,195949.24926757812,78,167,-0.5722866000141725,0.003424049489044196
4h,close,終値基準 (Close vs Close_21_ago),E4,EX5,遅行スパン陽転 & エクスパンション（バンド拡大）,遅行スパン陰転 or 終値 < 21MA割れ,187,0.31016042780748665,-134101.40991210938,-717.1198391021892,0.8056447150706635,201971.58813476562,58,129,-0.66396175398012,0.00430826050839927
4h,close,終値基準 (Close vs Close_21_ago),E4,EX6,遅行スパン陽転 & エクスパンション（バンド拡大）,終値 < +1σ割れ or 終値 < 21MA割れ,238,0.31092436974789917,-91538.84887695312,-384.61701208803834,0.8646474874650202,173399.0478515625,74,164,-0.5279086016395809,0.003632972636407648
4h,close,終値基準 (Close vs Close_21_ago),E4,EX7,遅行スパン陽転 & エクスパンション（バンド拡大）,遅行スパン陰転 or 終値 < +1σ割れ or 終値 < 21MA割れ,245,0.3183673469387755,-112139.12963867188,-457.71073321906886,0.838892124815828,195949.24926757812,78,167,-0.5722866000141725,0.003424049489044196
4h,close,終値基準 (Close vs Close_21_ago),E5,EX1,E4 & 終値 > +1σ,遅行スパン陰転,139,0.302158273381295,-119290.46630859375,-858.2047935870054,0.8268568907583125,228050.38452148438,42,97,-0.5230882050863437,0.005948610724879946
4h,close,終値基準 (Close vs Close_21_ago),E5,EX2,E4 & 終値 > +1σ,終値 < +1σ割れ,214,0.3317757009345794,-82958.83178710938,-387.6580924631279,0.8721052912628097,169969.32983398438,71,143,-0.48808118422387425,0.004075258370386961
4h,close,終値基準 (Close vs Close_21_ago),E5,EX3,E4 & 終値 > +1σ,終値 < 21MA割れ,154,0.35714285714285715,-82111.35864257812,-533.1906405362216,0.8709976921621974,143920.8984375,55,99,-0.5705311704834606,0.0056558291698843985
4h,close,終値基準 (Close vs Close_21_ago),E5,EX4,E4 & 終値 > +1σ,遅行スパン陰転 or 終値 < +1σ割れ,221,0.33484162895927594,-109439.0869140625,-495.19948829892536,0.8372894429383273,198399.50561523438,74,147,-0.5516096755115053,0.003788640013295599
4h,close,終値基準 (Close vs Close_21_ago),E5,EX5,E4 & 終値 > +1σ,遅行スパン陰転 or 終値 < 21MA割れ,174,0.3218390804597701,-134491.5771484375,-772.9400985542385,0.8004104994379636,194091.796875,56,118,-0.6929276729559748,0.004600060341597492
