entry,exit,total_trades,win_rate,total_pnl,profit_factor,max_drawdown
E6,EX5,38,0.34210526315789475,832933.6379438848,1.4760941872285391,470000.0
E6,EX3,38,0.34210526315789475,737262.0332470571,1.3995597354420464,544843.6137461567
E3,EX5,40,0.325,720275.4372739475,1.3867930586507053,470000.0
E6,EX1,31,0.3870967741935484,654537.8835052135,1.352779211451261,573355.2022238341
E3,EX3,40,0.325,624603.8325771198,1.3190263197510244,557760.3614273199
E2,EX6,68,0.39705882352941174,600357.4062544329,1.2166931663823937,791054.7726360594
E3,EX1,33,0.36363636363636365,470314.0223193787,1.2305913827322796,597078.769504314
E5,EX5,58,0.3103448275862069,382449.3937785432,1.1472958309860486,811280.2124023435
E4,EX5,60,0.3,381158.8301678079,1.1414581239181019,907062.1230347338
E4,EX6,59,0.3728813559322034,362496.06898652785,1.1430537063572173,790209.9435468052
E4,EX3,58,0.3103448275862069,359620.6999655296,1.1324063809246006,993465.6316298906
E4_MACD,EX1,14,0.42857142857142855,350011.33123025956,1.4543707555979681,341834.53884999617
E5_MACD,EX7,17,0.5882352941176471,347066.3810357945,2.0720442890231574,146128.9107858839
E5_MACD,EX4,17,0.5882352941176471,347066.3810357945,2.0720442890231574,146128.9107858839
E5_MACD,EX2,17,0.5882352941176471,347066.3810357945,2.0720442890231574,146128.9107858839
E5_MACD,EX1,13,0.3846153846153847,343964.81876154937,1.446521414179553,341834.53884999594
E5_MACD,EX5,17,0.29411764705882354,332631.9262592934,1.5584184251823743,374276.0464843011
E5_MACD,EX3,17,0.29411764705882354,332631.9262592934,1.5584184251823743,374276.0464843011
E6,EX5_MACD,41,0.4146341463414634,330427.942446704,1.1979383885965105,470000.0
E4_MACD,EX2,18,0.5555555555555556,329917.7572922372,1.9678095425976103,146128.9107858839
E4_MACD,EX4,18,0.5555555555555556,329917.7572922372,1.9678095425976103,146128.9107858839
E4_MACD,EX7,18,0.5555555555555556,329917.7572922372,1.9678095425976103,146128.9107858839
E5,EX6,58,0.3793103448275862,326074.0831502321,1.131817924862456,710279.0152814849
E4_MACD,EX3,18,0.2777777777777778,309535.43391163595,1.5002476575458294,397372.53883195855
E4_MACD,EX5,18,0.2777777777777778,309535.43391163595,1.5002476575458294,397372.53883195855
E5_MACD,EX7_MACD,17,0.5882352941176471,305235.44602629304,1.942833805289183,146128.91078588378
E5_MACD,EX4_MACD,17,0.5882352941176471,305235.44602629304,1.942833805289183,146128.91078588378
E5_MACD,EX2_MACD,17,0.5882352941176471,305235.44602629304,1.942833805289183,146128.91078588378
E5,EX3,57,0.3157894736842105,300102.40425732324,1.1120279074034767,956246.3628574846
E6,EX1_MACD,41,0.3902439024390244,298712.42522092536,1.177660324053018,470755.40974336537
E5,EX1_MACD,61,0.3442622950819672,292786.8048346238,1.1166590620292172,812035.6221457091
E4_MACD,EX4_MACD,18,0.5555555555555556,288086.82228273567,1.8450990270732355,146128.91078588367
